dsgdb9nsd_000001	C
dsgdb9nsd_007206	CC#CC(=O)C(C)=O
dsgdb9nsd_007208	CC#CC(=O)C(N)=O
dsgdb9nsd_007222	CC(=O)C(=O)CC#C
dsgdb9nsd_007223	CC(=O)C(=O)CC#N
dsgdb9nsd_007226	NC(=O)C(=O)CC#C
dsgdb9nsd_007227	NC(=O)C(=O)CC#N
dsgdb9nsd_007229	CC(=O)C(=N)NC=O
dsgdb9nsd_007230	CC(=O)C(=N)OC=O
dsgdb9nsd_007231	CC(=O)C(=O)NC=N
dsgdb9nsd_007232	CC(=O)C(=O)NC=O
dsgdb9nsd_007233	CC(=O)C(=O)OC=N
dsgdb9nsd_007239	NC(=O)C(=N)NC=N
dsgdb9nsd_007240	NC(=O)C(=N)NC=O
dsgdb9nsd_007241	NC(=O)C(=N)OC=O
dsgdb9nsd_007242	NC(=O)C(=O)NC=N
dsgdb9nsd_007243	NC(=O)C(=O)NC=O
dsgdb9nsd_007244	NC(=O)C(=O)OC=N
dsgdb9nsd_007300	NC(=O)C(O)CC#N
dsgdb9nsd_007400	CC(=O)C(=O)C(C)=O
dsgdb9nsd_007402	CC(=O)C(=O)C(N)=O
dsgdb9nsd_007405	NC(=O)C(=O)C(N)=O
dsgdb9nsd_007418	NC(=O)C(O)C(N)=O
dsgdb9nsd_007622	CC(=O)C1CC(=O)O1
dsgdb9nsd_007624	NC(=O)C1CC(=N)O1
dsgdb9nsd_007626	NC(=O)C1CC(=O)N1
dsgdb9nsd_007627	NC(=O)C1CC(=O)O1
dsgdb9nsd_007628	NC(=O)N1CC(=O)C1
dsgdb9nsd_007686	CC1(O)C2OC(=O)C12
dsgdb9nsd_007699	[NH2+]=C1[CH-]C(=O)C=CN1
dsgdb9nsd_007700	N=C1CC=CC(=O)N1
dsgdb9nsd_007701	N=C1CC=CC(=O)O1
dsgdb9nsd_007702	N=C1NC(=O)CC=C1
dsgdb9nsd_007703	N=C1OC(=O)CC=C1
dsgdb9nsd_007704	O=C1CC=CC(=O)C1
dsgdb9nsd_007705	N=C1CC(=N)OCO1
dsgdb9nsd_007707	N=C1CC(=O)OCO1
dsgdb9nsd_007711	N=C1CCNC(=O)O1
dsgdb9nsd_007712	N=C1CCOC(=O)N1
dsgdb9nsd_007713	N=C1CCOC(=O)O1
dsgdb9nsd_007715	N=C1CNCC(=O)O1
dsgdb9nsd_007717	N=C1COCC(=O)N1
dsgdb9nsd_007718	N=C1COCC(=O)O1
dsgdb9nsd_007719	N=C1NC(=N)OCO1
dsgdb9nsd_007720	N=C1NC(=O)CCO1
dsgdb9nsd_007721	N=C1NC(=O)OCO1
dsgdb9nsd_007726	O=C1CCNC(=O)N1
dsgdb9nsd_007727	O=C1CCOC(=O)C1
dsgdb9nsd_007728	O=C1CCOC(=O)N1
dsgdb9nsd_007730	O=C1CNCC(=O)N1
dsgdb9nsd_007731	O=C1COCC(=O)N1
dsgdb9nsd_007869	CC1=CC(=O)C(=N)N1
dsgdb9nsd_007870	CC1=CC(=O)C(=O)C1
dsgdb9nsd_007871	CC1=CC(=O)C(=O)N1
dsgdb9nsd_007872	NC1=CC(=O)C(=O)C1
dsgdb9nsd_007873	CC1=CC(=N)NC1=O
dsgdb9nsd_007874	CC1=CC(=N)OC1=O
dsgdb9nsd_007875	CC1=CC(=O)CC1=O
dsgdb9nsd_007876	CC1=CC(=O)NC1=N
dsgdb9nsd_007877	CC1=CC(=O)NC1=O
dsgdb9nsd_007878	CC1=CC(=O)OC1=N
dsgdb9nsd_007879	NC1=CC(=N)NC1=O
dsgdb9nsd_007880	NC1=CC(=N)OC1=O
dsgdb9nsd_007881	NC1=CC(=O)CC1=O
dsgdb9nsd_007882	NC1=CC(=O)NC1=N
dsgdb9nsd_007883	NC1=CC(=O)NC1=O
dsgdb9nsd_007884	NC1=CC(=O)OC1=N
dsgdb9nsd_007898	CC1CC(=O)C(=O)O1
dsgdb9nsd_007899	CC1OC(=N)C(=N)O1
dsgdb9nsd_007900	CC1OC(=N)C(=O)O1
dsgdb9nsd_007901	CC1OC(=O)C(=O)O1
dsgdb9nsd_007903	OC1CC(=O)C(=O)C1
dsgdb9nsd_007929	CC1NC(=O)NC1=O
dsgdb9nsd_007930	CC1NC(=O)OC1=N
dsgdb9nsd_007933	CC1OC(=N)NC1=O
dsgdb9nsd_007934	CC1OC(=O)CC1=O
dsgdb9nsd_007935	CC1OC(=O)NC1=N
dsgdb9nsd_007936	CC1OC(=O)OC1=N
dsgdb9nsd_007938	CN1CC(=N)OC1=O
dsgdb9nsd_007941	CN1CC(=O)NC1=O
dsgdb9nsd_007942	NC1CC(=N)OC1=O
dsgdb9nsd_007943	NC1CC(=O)NC1=O
dsgdb9nsd_007944	NC1CC(=O)OC1=N
dsgdb9nsd_007945	OC1CC(=N)NC1=O
dsgdb9nsd_007946	OC1CC(=N)OC1=O
dsgdb9nsd_007947	OC1CC(=O)CC1=O
dsgdb9nsd_007948	OC1CC(=O)NC1=N
dsgdb9nsd_007949	OC1CC(=O)NC1=O
dsgdb9nsd_007950	OC1CC(=O)OC1=N
dsgdb9nsd_008025	CC12COC1C(=O)O2
dsgdb9nsd_008028	OC12COC1C(=O)C2
dsgdb9nsd_008054	OC12CN(C1)C2C#N
dsgdb9nsd_008096	CC12OC(=O)C1C2O
dsgdb9nsd_008104	OC1C2C(=O)CC12O
dsgdb9nsd_008131	CC12CC1OC(=O)O2
dsgdb9nsd_008136	OC12CC1OC(=O)C2
dsgdb9nsd_008171	OC12CC(C1)OC2=O
dsgdb9nsd_008246	N=C1CC(CC#N)O1
dsgdb9nsd_008249	O=C1CC(CC#C)O1
dsgdb9nsd_008251	O=C1CC(CC#N)N1
dsgdb9nsd_008252	O=C1CC(CC#N)O1
dsgdb9nsd_008254	O=C1CN(CC#N)C1
dsgdb9nsd_008259	O=CCC1CC(=O)O1
dsgdb9nsd_008262	O=COC1CC(=O)C1
dsgdb9nsd_008266	CC#CC1CC(=O)O1
dsgdb9nsd_008329	O=C1CC2(COC2)O1
dsgdb9nsd_008379	OC1CC11CC(=O)O1
dsgdb9nsd_008474	CC12CC1(O)C(=O)O2
dsgdb9nsd_008476	OC12CC1(O)C(=O)C2
dsgdb9nsd_008511	OC12CC3(O)C1OC23
dsgdb9nsd_008572	O=C1OC2CC(C2)O1
dsgdb9nsd_008585	N=C1OC23CN(C2)C13
dsgdb9nsd_008587	O=C1CC23CC(O2)C13
dsgdb9nsd_008590	O=C1NC23CN(C2)C13
dsgdb9nsd_008591	O=C1OC23CC(C2)C13
dsgdb9nsd_008592	O=C1OC23CN(C2)C13
dsgdb9nsd_008604	CC(C#C)(C#C)C#C
dsgdb9nsd_008605	CC(C#C)(C#C)C#N
dsgdb9nsd_008606	CC(C#C)(C#N)C#N
dsgdb9nsd_008607	CC(C#N)(C#N)C#N
dsgdb9nsd_008608	NC(C#C)(C#C)C#C
dsgdb9nsd_008609	NC(C#C)(C#C)C#N
dsgdb9nsd_008610	NC(C#C)(C#N)C#N
dsgdb9nsd_008611	NC(C#N)(C#N)C#N
dsgdb9nsd_008612	OC(C#C)(C#C)C#C
dsgdb9nsd_008613	OC(C#C)(C#C)C#N
dsgdb9nsd_008614	OC(C#C)(C#N)C#N
dsgdb9nsd_008615	CC(C=O)(C#C)C#C
dsgdb9nsd_008616	CC(C=O)(C#C)C#N
dsgdb9nsd_008617	CC(C=O)(C#N)C#N
dsgdb9nsd_008618	OC(C=O)(C#C)C#C
dsgdb9nsd_008619	OC(C=O)(C#C)C#N
dsgdb9nsd_008620	OC(C=O)(C#N)C#N
dsgdb9nsd_008621	CC(C=O)(C=O)C#C
dsgdb9nsd_008622	CC(C=O)(C=O)C#N
dsgdb9nsd_008623	OC(C=O)(C=O)C#C
dsgdb9nsd_008624	OC(C=O)(C=O)C#N
dsgdb9nsd_008625	CC(C=O)(C=O)C=O
dsgdb9nsd_008626	OC(C=O)(C=O)C=O
dsgdb9nsd_008630	CC(CO)(C#N)C#N
dsgdb9nsd_008638	CCC(O)(C#N)C#N
dsgdb9nsd_008643	COC(C)(C#N)C#N
dsgdb9nsd_008644	NC(CO)(C#C)C#N
dsgdb9nsd_008645	NC(CO)(C#N)C#N
dsgdb9nsd_008647	NCC(N)(C#N)C#N
dsgdb9nsd_008648	NCC(O)(C#C)C#N
dsgdb9nsd_008649	NCC(O)(C#N)C#N
dsgdb9nsd_008650	OCC(O)(C#C)C#C
dsgdb9nsd_008651	OCC(O)(C#C)C#N
dsgdb9nsd_008652	OCC(O)(C#N)C#N
dsgdb9nsd_008662	OCC(O)(C=O)C#C
dsgdb9nsd_008663	OCC(O)(C=O)C#N
dsgdb9nsd_008669	OCC(O)(C=O)C=O
dsgdb9nsd_008718	O=C(C#C)C(=O)C#C
dsgdb9nsd_008719	O=C(C#C)C(=O)C#N
dsgdb9nsd_008720	O=C(C#N)C(=O)C#N
dsgdb9nsd_008721	O=CC(=O)C(=O)C#C
dsgdb9nsd_008722	O=CC(=O)C(=O)C#N
dsgdb9nsd_008723	O=CC(=O)C(=O)C=O
dsgdb9nsd_008724	CC(C#C)C(=O)C#C
dsgdb9nsd_008725	CC(C#C)C(=O)C#N
dsgdb9nsd_008726	CC(C#N)C(=O)C#C
dsgdb9nsd_008727	OC(C#C)C(=O)C#C
dsgdb9nsd_008728	OC(C#C)C(=O)C#N
dsgdb9nsd_008729	OC(C#N)C(=O)C#C
dsgdb9nsd_008730	CC(C#C)C(=O)C=O
dsgdb9nsd_008731	OC(C#C)C(=O)C=O
dsgdb9nsd_008741	CC(C#N)C(O)C#N
dsgdb9nsd_008743	NC(C#C)C(O)C#N
dsgdb9nsd_008744	NC(C#N)C(N)C#N
dsgdb9nsd_008745	NC(C#N)C(O)C#C
dsgdb9nsd_008746	NC(C#N)C(O)C#N
dsgdb9nsd_008747	OC(C#C)C(O)C#C
dsgdb9nsd_008748	OC(C#C)C(O)C#N
dsgdb9nsd_008749	OC(C#N)C(O)C#N
dsgdb9nsd_008750	CC(C=O)C(=O)C#C
dsgdb9nsd_008751	CN(C=N)C(=N)C#N
dsgdb9nsd_008752	CN(C=N)C(=O)C#C
dsgdb9nsd_008753	CN(C=N)C(=O)C#N
dsgdb9nsd_008754	CN(C=O)C(=N)C#C
dsgdb9nsd_008755	CN(C=O)C(=N)C#N
dsgdb9nsd_008756	CN(C=O)C(=O)C#C
dsgdb9nsd_008757	CN(C=O)C(=O)C#N
dsgdb9nsd_008758	OC(C=O)C(=O)C#C
dsgdb9nsd_008760	CN(C=N)C(=O)C=O
dsgdb9nsd_008761	CN(C=O)C(=N)C=O
dsgdb9nsd_008762	CN(C=O)C(=O)C=O
dsgdb9nsd_008771	OC(C=O)C(O)C#C
dsgdb9nsd_008772	OC(C=O)C(O)C#N
dsgdb9nsd_008776	OC(C=O)C(O)C=O
dsgdb9nsd_008777	CN=C(N)C(=O)C#C
dsgdb9nsd_008778	CN=C(N)C(=O)C#N
dsgdb9nsd_008779	CN=C(N)C(=O)C=O
dsgdb9nsd_008783	CCC(=O)C(=O)C#C
dsgdb9nsd_008784	CCC(=O)C(=O)C#N
dsgdb9nsd_008785	CNC(=N)C(=O)C#C
dsgdb9nsd_008786	CNC(=N)C(=O)C#N
dsgdb9nsd_008787	CNC(=O)C(=O)C#C
dsgdb9nsd_008788	COC(=O)C(=O)C#C
dsgdb9nsd_008789	COC(=O)C(=O)C#N
dsgdb9nsd_008790	OCC(=O)C(=O)C#C
dsgdb9nsd_008791	OCC(=O)C(=O)C#N
dsgdb9nsd_008792	CCC(=O)C(=O)C=O
dsgdb9nsd_008793	CNC(=N)C(=O)C=O
dsgdb9nsd_008794	CNC(=O)C(=O)C=O
dsgdb9nsd_008795	COC(=O)C(=O)C=O
dsgdb9nsd_008796	OCC(=O)C(=O)C=O
dsgdb9nsd_008807	COC(=O)C(=O)CO
dsgdb9nsd_008808	COC(=O)C(=O)OC
dsgdb9nsd_008809	OCC(=O)C(=O)CO
dsgdb9nsd_008826	CNC(=O)C(O)C#N
dsgdb9nsd_008830	COC(=O)C(N)C#N
dsgdb9nsd_008831	COC(=O)C(O)C#C
dsgdb9nsd_008832	COC(=O)C(O)C#N
dsgdb9nsd_008833	OCC(=O)C(O)C#C
dsgdb9nsd_008834	OCC(=O)C(O)C#N
dsgdb9nsd_008851	COC(=O)C(O)C=O
dsgdb9nsd_008854	OCC(=O)C(O)C=O
dsgdb9nsd_008867	OCC(O)C(=O)C#C
dsgdb9nsd_008868	OCC(O)C(=O)C#N
dsgdb9nsd_008875	OCC(O)C(=O)C=O
dsgdb9nsd_008959	O=C(C#C)C#CC#C
dsgdb9nsd_008960	O=C(C#C)C#CC#N
dsgdb9nsd_008961	O=C(C#N)C#CC#C
dsgdb9nsd_008962	O=C(C#N)C#CC#N
dsgdb9nsd_008963	N=C(NCC#C)C#N
dsgdb9nsd_008964	N=C(NCC#N)C#N
dsgdb9nsd_008965	O=C(CCC#C)C#C
dsgdb9nsd_008966	O=C(CCC#C)C#N
dsgdb9nsd_008967	O=C(CCC#N)C#C
dsgdb9nsd_008968	O=C(CCC#N)C#N
dsgdb9nsd_008969	O=C(NCC#C)C#C
dsgdb9nsd_008970	O=C(OCC#C)C#C
dsgdb9nsd_008971	O=C(OCC#C)C#N
dsgdb9nsd_008972	O=C(OCC#N)C#C
dsgdb9nsd_008973	O=C(OCC#N)C#N
dsgdb9nsd_008974	O=CC#CC(=O)C#C
dsgdb9nsd_008975	O=CC#CC(=O)C#N
dsgdb9nsd_008976	O=CC#CC(=O)C=O
dsgdb9nsd_008977	O=CC(=O)C#CC#C
dsgdb9nsd_008978	O=CC(=O)C#CC#N
dsgdb9nsd_008979	N=C(NCC#C)C=O
dsgdb9nsd_008980	N=C(NCC#N)C=O
dsgdb9nsd_008981	O=CC(=O)CCC#C
dsgdb9nsd_008982	O=CC(=O)CCC#N
dsgdb9nsd_008983	O=CC(=O)NCC#C
dsgdb9nsd_008984	O=CC(=O)OCC#C
dsgdb9nsd_008985	O=CC(=O)OCC#N
dsgdb9nsd_008986	N=C(NCC=O)C#N
dsgdb9nsd_008987	N=COCC(=O)C#C
dsgdb9nsd_008988	N=COCC(=O)C#N
dsgdb9nsd_008989	O=CCCC(=O)C#C
dsgdb9nsd_008990	O=CCCC(=O)C#N
dsgdb9nsd_008991	O=CCNC(=O)C#C
dsgdb9nsd_008992	O=CCOC(=O)C#C
dsgdb9nsd_008993	O=CCOC(=O)C#N
dsgdb9nsd_008994	O=CNCC(=O)C#C
dsgdb9nsd_008995	O=CNCC(=O)C#N
dsgdb9nsd_008996	O=COCC(=O)C#C
dsgdb9nsd_008997	O=COCC(=O)C#N
dsgdb9nsd_008998	N=C(NCC=O)C=O
dsgdb9nsd_008999	N=COCC(=O)C=O
dsgdb9nsd_009000	O=CCCC(=O)C=O
dsgdb9nsd_009001	O=CCNC(=O)C=O
dsgdb9nsd_009002	O=CCOC(=O)C=O
dsgdb9nsd_009003	O=CNCC(=O)C=O
dsgdb9nsd_009004	O=COCC(=O)C=O
dsgdb9nsd_009005	CC#CCC(=O)C#C
dsgdb9nsd_009006	CC#CCC(=O)C#N
dsgdb9nsd_009007	CC#CCC(=O)C=O
dsgdb9nsd_009016	NC(=NCC#C)C#N
dsgdb9nsd_009017	NC(=NCC#N)C#C
dsgdb9nsd_009018	NC(=NCC#N)C#N
dsgdb9nsd_009019	NC(=NCC=O)C#N
dsgdb9nsd_009020	CC(C#C)C#CC#C
dsgdb9nsd_009021	CC(C#C)C#CC#N
dsgdb9nsd_009022	CC(C#N)C#CC#C
dsgdb9nsd_009023	CC(C#N)C#CC#N
dsgdb9nsd_009024	NC(C#C)C#CC#N
dsgdb9nsd_009025	NC(C#N)C#CC#C
dsgdb9nsd_009026	NC(C#N)C#CC#N
dsgdb9nsd_009027	OC(C#C)C#CC#C
dsgdb9nsd_009028	OC(C#C)C#CC#N
dsgdb9nsd_009029	OC(C#N)C#CC#C
dsgdb9nsd_009030	OC(C#N)C#CC#N
dsgdb9nsd_009031	CC(C#C)C#CC=O
dsgdb9nsd_009032	CC(C#N)C#CC=O
dsgdb9nsd_009033	OC(C#C)C#CC=O
dsgdb9nsd_009034	OC(C#N)C#CC=O
dsgdb9nsd_009035	NC(C=O)=NCC#C
dsgdb9nsd_009036	NC(C=O)=NCC#N
dsgdb9nsd_009037	NC(C=O)=NCC=O
dsgdb9nsd_009038	CC(C=O)C#CC#C
dsgdb9nsd_009039	CC(C=O)C#CC#N
dsgdb9nsd_009040	OC(C=O)C#CC#C
dsgdb9nsd_009041	OC(C=O)C#CC#N
dsgdb9nsd_009042	CC(C=O)C#CC=O
dsgdb9nsd_009043	OC(C=O)C#CC=O
dsgdb9nsd_009054	CC(OCC#N)C#N
dsgdb9nsd_009060	OC(CCC#N)C#N
dsgdb9nsd_009083	NC(COC=O)C#N
dsgdb9nsd_009087	OC(CNC=O)C#N
dsgdb9nsd_009089	OC(COC=N)C#N
dsgdb9nsd_009090	OC(COC=O)C#C
dsgdb9nsd_009091	OC(COC=O)C#N
dsgdb9nsd_009102	OC(COC=O)C=O
dsgdb9nsd_009106	CN=CNC(=N)C#N
dsgdb9nsd_009107	CN=CNC(=O)C#C
dsgdb9nsd_009108	CN=COC(=O)C#C
dsgdb9nsd_009109	CN=COC(=O)C#N
dsgdb9nsd_009111	CN=CNC(=O)C=O
dsgdb9nsd_009112	CN=COC(=O)C=O
dsgdb9nsd_009116	CCC#CC(=O)C#C
dsgdb9nsd_009117	CCC#CC(=O)C#N
dsgdb9nsd_009118	OCC#CC(=O)C#C
dsgdb9nsd_009119	OCC#CC(=O)C#N
dsgdb9nsd_009120	CCC#CC(=O)C=O
dsgdb9nsd_009121	OCC#CC(=O)C=O
dsgdb9nsd_009128	COC(=O)C#CCO
dsgdb9nsd_009129	OCC#CC(=O)CO
dsgdb9nsd_009137	NC(C#N)C#CCO
dsgdb9nsd_009138	OCC#CC(O)C#C
dsgdb9nsd_009139	OCC#CC(O)C#N
dsgdb9nsd_009143	OCC#CC(O)C=O
dsgdb9nsd_009154	CCC(=O)C#CC#C
dsgdb9nsd_009155	CCC(=O)C#CC#N
dsgdb9nsd_009156	CNC(=O)C#CC#C
dsgdb9nsd_009157	CNC(=O)C#CC#N
dsgdb9nsd_009158	COC(=O)C#CC#C
dsgdb9nsd_009159	COC(=O)C#CC#N
dsgdb9nsd_009160	OCC(=O)C#CC#C
dsgdb9nsd_009161	OCC(=O)C#CC#N
dsgdb9nsd_009162	CCC(=O)C#CC=O
dsgdb9nsd_009163	CNC(=O)C#CC=O
dsgdb9nsd_009164	COC(=O)C#CC=O
dsgdb9nsd_009165	OCC(=O)C#CC=O
dsgdb9nsd_009190	CNC(=O)OCC#N
dsgdb9nsd_009195	COC(=O)NCC#N
dsgdb9nsd_009198	NCC(=O)OCC#N
dsgdb9nsd_009202	OCC(=O)NCC#N
dsgdb9nsd_009203	OCC(=O)OCC#C
dsgdb9nsd_009204	OCC(=O)OCC#N
dsgdb9nsd_009220	COC(=O)COC=O
dsgdb9nsd_009225	OCC(=O)COC=O
dsgdb9nsd_009227	OCC(=O)OCC=O
dsgdb9nsd_009244	NC(CO)C#CC#N
dsgdb9nsd_009245	OCC(O)C#CC#C
dsgdb9nsd_009246	OCC(O)C#CC#N
dsgdb9nsd_009251	OCC(O)C#CC=O
dsgdb9nsd_009325	OCCOC(=O)C#C
dsgdb9nsd_009326	OCCOC(=O)C#N
dsgdb9nsd_009336	OCCOC(=O)C=O
dsgdb9nsd_009439	CC1(CNC1=O)C#N
dsgdb9nsd_009441	CC1(COC1=N)C#N
dsgdb9nsd_009442	CC1(COC1=O)C#C
dsgdb9nsd_009443	CC1(COC1=O)C#N
dsgdb9nsd_009445	CC1(NCC1=O)C#N
dsgdb9nsd_009446	CC1(OCC1=O)C#C
dsgdb9nsd_009447	CC1(OCC1=O)C#N
dsgdb9nsd_009448	NC1(CNC1=N)C#N
dsgdb9nsd_009449	NC1(CNC1=O)C#C
dsgdb9nsd_009450	NC1(COC1=N)C#C
dsgdb9nsd_009451	NC1(COC1=N)C#N
dsgdb9nsd_009452	NC1(COC1=O)C#C
dsgdb9nsd_009453	NC1(COC1=O)C#N
dsgdb9nsd_009454	OC1(CCC1=O)C#C
dsgdb9nsd_009455	OC1(CCC1=O)C#N
dsgdb9nsd_009456	OC1(CNC1=N)C#C
dsgdb9nsd_009457	OC1(CNC1=N)C#N
dsgdb9nsd_009458	OC1(CNC1=O)C#C
dsgdb9nsd_009459	OC1(COC1=N)C#C
dsgdb9nsd_009460	OC1(COC1=N)C#N
dsgdb9nsd_009461	OC1(COC1=O)C#C
dsgdb9nsd_009462	OC1(COC1=O)C#N
dsgdb9nsd_009466	CC1(COC1=O)C=O
dsgdb9nsd_009468	CC1(OCC1=O)C=O
dsgdb9nsd_009469	OC1(CCC1=O)C=O
dsgdb9nsd_009470	OC1(CNC1=N)C=O
dsgdb9nsd_009471	OC1(CNC1=O)C=O
dsgdb9nsd_009472	OC1(COC1=N)C=O
dsgdb9nsd_009473	OC1(COC1=O)C=O
dsgdb9nsd_009540	OCC1(O)COC1=O
dsgdb9nsd_009563	CC1(CC1C#N)C#N
dsgdb9nsd_009565	CC1(NC1C#C)C#N
dsgdb9nsd_009566	CC1(NC1C#N)C#C
dsgdb9nsd_009567	CC1(NC1C#N)C#N
dsgdb9nsd_009568	CC1(OC1C#C)C#C
dsgdb9nsd_009569	CC1(OC1C#C)C#N
dsgdb9nsd_009570	CC1(OC1C#N)C#C
dsgdb9nsd_009571	CC1(OC1C#N)C#N
dsgdb9nsd_009572	NC1(CC1C#C)C#N
dsgdb9nsd_009573	NC1(CC1C#N)C#C
dsgdb9nsd_009574	NC1(CC1C#N)C#N
dsgdb9nsd_009575	OC1(CC1C#C)C#C
dsgdb9nsd_009576	OC1(CC1C#C)C#N
dsgdb9nsd_009577	OC1(CC1C#N)C#C
dsgdb9nsd_009578	OC1(CC1C#N)C#N
dsgdb9nsd_009582	CC1(NC1C#N)C=O
dsgdb9nsd_009583	CC1(OC1C#C)C=O
dsgdb9nsd_009584	CC1(OC1C#N)C=O
dsgdb9nsd_009585	OC1(CC1C#C)C=O
dsgdb9nsd_009586	OC1(CC1C#N)C=O
dsgdb9nsd_009590	CC1(CN1C=O)C#N
dsgdb9nsd_009592	CC1(NC1C=O)C#N
dsgdb9nsd_009593	CC1(OC1C=O)C#C
dsgdb9nsd_009594	CC1(OC1C=O)C#N
dsgdb9nsd_009595	OC1(CC1C=O)C#C
dsgdb9nsd_009596	OC1(CC1C=O)C#N
dsgdb9nsd_009600	CC1(OC1C=O)C=O
dsgdb9nsd_009601	OC1(CC1C=O)C=O
dsgdb9nsd_009698	CC1(CN=CO1)C#N
dsgdb9nsd_009709	CC1(COC=N1)C#N
dsgdb9nsd_009812	CC1(CN1)C(=O)C#N
dsgdb9nsd_009813	CC1(CO1)C(=O)C#C
dsgdb9nsd_009814	CC1(CO1)C(=O)C#N
dsgdb9nsd_009815	OC1(CC1)C(=O)C#C
dsgdb9nsd_009816	OC1(CC1)C(=O)C#N
dsgdb9nsd_009819	CC1(CO1)C(=O)C=O
dsgdb9nsd_009820	OC1(CC1)C(=O)C=O
dsgdb9nsd_009863	CC1(CN1)C#CC#N
dsgdb9nsd_009864	CC1(CO1)C#CC#C
dsgdb9nsd_009865	CC1(CO1)C#CC#N
dsgdb9nsd_009866	OC1(CC1)C#CC#C
dsgdb9nsd_009867	OC1(CC1)C#CC#N
dsgdb9nsd_009870	CC1(CO1)C#CC=O
dsgdb9nsd_009871	OC1(CC1)C#CC=O
dsgdb9nsd_009939	NC1(C#N)C(O)C1O
dsgdb9nsd_009943	NC1C(O)C1(O)C#N
dsgdb9nsd_009944	OC1C(O)C1(O)C#C
dsgdb9nsd_009945	OC1C(O)C1(O)C#N
dsgdb9nsd_009952	OC1C(O)C1(O)C=O
dsgdb9nsd_009970	C#CC(CC#N)C#C
dsgdb9nsd_009971	C#CC(CC#N)C#N
dsgdb9nsd_009972	C#CCC(C#C)C#C
dsgdb9nsd_009973	C#CCC(C#C)C#N
dsgdb9nsd_009974	C#CCC(C#N)C#N
dsgdb9nsd_009975	O=CC(CC#C)C#C
dsgdb9nsd_009976	O=CC(CC#C)C#N
dsgdb9nsd_009977	O=CC(CC#N)C#C
dsgdb9nsd_009978	O=CC(CC#N)C#N
dsgdb9nsd_009979	N=CN(CC#C)C=O
dsgdb9nsd_009980	N=CN(CC#N)C=N
dsgdb9nsd_009981	N=CN(CC#N)C=O
dsgdb9nsd_009982	O=CC(CC#C)C=O
dsgdb9nsd_009983	O=CC(CC#N)C=O
dsgdb9nsd_009984	O=CN(CC#C)C=O
dsgdb9nsd_009985	O=CN(CC#N)C=O
dsgdb9nsd_009986	[NH2+]=CN[C-](C#N)C#N
dsgdb9nsd_009987	N=COC(C#C)C#C
dsgdb9nsd_009988	N=COC(C#C)C#N
dsgdb9nsd_009989	O=CCC(C#C)C#C
dsgdb9nsd_009990	O=CCC(C#C)C#N
dsgdb9nsd_009991	O=CNC(C#C)C#C
dsgdb9nsd_009992	O=COC(C#C)C#C
dsgdb9nsd_009993	O=COC(C#C)C#N
dsgdb9nsd_009994	N=COC(C=O)C#C
dsgdb9nsd_009995	N=COC(C=O)C#N
dsgdb9nsd_009996	O=CCC(C=O)C#C
dsgdb9nsd_009997	O=CCC(C=O)C#N
dsgdb9nsd_009998	O=CNC(C=O)C#C
dsgdb9nsd_009999	O=COC(C=O)C#C
dsgdb9nsd_010000	O=COC(C=O)C#N
dsgdb9nsd_010001	N=CN(CC=O)C=O
dsgdb9nsd_010002	O=CCC(C=O)C=O
dsgdb9nsd_010003	O=CCN(C=O)C=O
dsgdb9nsd_010004	CC#CC(C#C)C#C
dsgdb9nsd_010005	CC#CC(C#C)C#N
dsgdb9nsd_010006	CC#CC(C=O)C#C
dsgdb9nsd_010007	CC#CC(C=O)C#N
dsgdb9nsd_010008	CC#CC(C=O)C=O
dsgdb9nsd_010009	CN=C(NC=N)C#N
dsgdb9nsd_010010	CN=C(NC=O)C#C
dsgdb9nsd_010011	CN=C(OC=O)C#C
dsgdb9nsd_010012	CN=C(OC=O)C#N
dsgdb9nsd_010014	CN=C(NC=O)C=O
dsgdb9nsd_010015	CN=C(OC=O)C=O
dsgdb9nsd_010016	NC=[NH+][C-](C#N)C#N
dsgdb9nsd_010017	NC=NC(C=O)C#N
dsgdb9nsd_010020	CN=CN(C=O)C=O
dsgdb9nsd_010021	NC=NC(C=O)C=O
dsgdb9nsd_010046	COC(CC#N)C#N
dsgdb9nsd_010051	OCC(CC#N)C#N
dsgdb9nsd_010110	NCC(OC=O)C#N
dsgdb9nsd_010114	OCC(NC=O)C#N
dsgdb9nsd_010116	OCC(OC=N)C#N
dsgdb9nsd_010117	OCC(OC=O)C#C
dsgdb9nsd_010118	OCC(OC=O)C#N
dsgdb9nsd_010128	OCC(OC=O)C=O
dsgdb9nsd_010141	CCOC(C#N)C#N
dsgdb9nsd_010236	CC(=O)C(C#C)C#C
dsgdb9nsd_010237	CC(=O)C(C#C)C#N
dsgdb9nsd_010238	CC(=O)C(C#N)C#N
dsgdb9nsd_010239	NC(=[NH2+])[C-](C#C)C#N
dsgdb9nsd_010240	NC(=[NH2+])[C-](C#N)C#N
dsgdb9nsd_010241	NC(=O)C(C#C)C#C
dsgdb9nsd_010242	CC(=O)C(C=O)C#C
dsgdb9nsd_010243	NC(=O)C(C=O)C#C
dsgdb9nsd_010245	CC(=N)N(C=O)C=O
dsgdb9nsd_010247	CC(=O)N(C=N)C=O
dsgdb9nsd_010248	CC(=O)N(C=O)C=O
dsgdb9nsd_010251	NC(=O)N(C=N)C=N
dsgdb9nsd_010252	NC(=O)N(C=N)C=O
